Kodu ;Dersin Adý ;Name;T ;U;L;K;AKTS;Dönem;Grubu;Ön Koþul
BÝL401;Bilgisayar Aðlarý;Computer Networks;3;0;0;3;5;7;Z;
BÝL407;Yazýlým Mühendisliði;Software Engineering;3;0;0;3;6;7;Z;
BÝL409;Proje Tasarýmý;Project Design;2;2;0;3;4;7;Z;
BÝL504;Bilgisayarlý Görüye Giriþ (TS8);Introduction To Computer Vision (TE8);2;2;0;3;6;8;BÝLSEÇ-8;
BÝL506;Yazýlým Test Süreçleri (TS8);Software Test Processes (TE8);2;2;0;3;6;8;BÝLSEÇ-8;
BÝL508;Coðrafi Bilgi Sistemleri (TS8);Geographic Information Systems (TE8);2;2;0;3;6;8;BÝLSEÇ-8;
BÝL510;Programlamada Özel Konular (TS8);Special Topics in Programming (TE8);2;2;0;3;6;8;BÝLSEÇ-8;
BÝL512;Prolog (TS8);Prolog (TE8);2;2;0;3;6;8;BÝLSEÇ-8;
BÝL514;Yapay Sinir Aðlarý (TS8);Artificial Neural Networks (TE8);2;2;0;3;6;8;BÝLSEÇ-8;
BÝL516;Alan Programlanabilir Kapý Dizileri (TS8);Field Programmable Gate Arrays (TE8);2;2;0;3;6;8;BÝLSEÇ-8;
BÝL518;Derleyici Tasarýmý (TS8);Compiler Design (TE 8);2;2;0;3;6;8;BÝLSEÇ-8;
BÝL520;Bilgi Teorisi (TS9);Information Theory (TE9);2;2;0;3;6;8;BÝLSEÇ-9;
BÝL522;Kodlama Teorisi (TS9);Coding Theory (TE9);2;2;0;3;6;8;BÝLSEÇ-9;
BÝL524;Kritik Altyapýlar ve Güvenliði (TS9);Critic infrastructure And Security (TE9);2;2;0;3;6;8;BÝLSEÇ-9;
BÝL526;Bilgisayar Müh. Özel Konular - II (TS9);Special Topics in Computer Engineering-II (TE9);2;2;0;3;6;8;BÝLSEÇ-9;
BÝL528;Týbbi Biliþime Giriþ (TS9);Introduction To Medical Informatics (TE9);2;2;0;3;6;8;BÝLSEÇ-9;
BÝL530;Mühendislik Ekonomisi (TS9);Engineering Economics (TE9);2;2;0;3;6;8;BÝLSEÇ-9;
BÝL532;Adli Biliþim (TS9);Forensic Informatics (TE9);2;2;0;3;6;8;BÝLSEÇ-9;
BÝLSEÇ-8;Teknik Seçmeli Ders 8;TECHNICAL ELECTIVE COURSE 8;2;2;0;3;6;8;G;
